func_ov000_020773c0 kind:function(thumb,size=0x44) addr:0x2077360
func_ov000_02090f64 kind:function(arm,size=0x10) addr:0x2090f04
func_ov000_02090f74 kind:function(arm,size=0xd0) addr:0x2090f14
func_ov000_02091044 kind:function(arm,size=0x4) addr:0x2090fe4
func_ov000_02091048 kind:function(arm,size=0x14) addr:0x2090fe8
func_ov000_0209105c kind:function(arm,size=0x4) addr:0x2090ffc
func_ov000_02091060 kind:function(arm,size=0x4) addr:0x2091000
func_ov000_02091064 kind:function(arm,size=0x78) addr:0x2091004
func_ov000_020910dc kind:function(arm,size=0x4) addr:0x209107c
func_ov000_020910e0 kind:function(arm,size=0x64) addr:0x2091080
func_ov000_02091144 kind:function(arm,size=0x4) addr:0x20910e4
func_ov000_02091148 kind:function(arm,size=0x14) addr:0x20910e8
func_ov000_0209115c kind:function(arm,size=0x10) addr:0x20910fc
func_ov000_0209116c kind:function(arm,size=0x60) addr:0x209110c
func_ov000_020911cc kind:function(arm,size=0x78) addr:0x209116c
func_ov000_02091244 kind:function(arm,size=0x1c) addr:0x20911e4
func_ov000_02091260 kind:function(arm,size=0x4) addr:0x2091200
func_ov000_02091264 kind:function(arm,size=0x14) addr:0x2091204
func_ov000_02091278 kind:function(arm,size=0x188) addr:0x2091218
func_ov000_02091400 kind:function(arm,size=0x1e8) addr:0x20913a0
func_ov000_020915e8 kind:function(arm,size=0x1d0) addr:0x2091588
func_ov000_020917b8 kind:function(arm,size=0x5a0) addr:0x2091758
func_ov000_02091d58 kind:function(arm,size=0x290) addr:0x2091cf8
func_ov000_02091fe8 kind:function(arm,size=0x200) addr:0x2091f88
func_ov000_020921e8 kind:function(arm,size=0xc) addr:0x2092188
func_ov000_020921f4 kind:function(arm,size=0x4) addr:0x2092194
func_ov000_020921f8 kind:function(arm,size=0x8) addr:0x2092198
func_ov000_02092200 kind:function(arm,size=0x8) addr:0x20921a0
func_ov000_02092208 kind:function(arm,size=0x14) addr:0x20921a8
func_ov000_0209221c kind:function(arm,size=0x29c) addr:0x20921bc
func_ov000_020924b8 kind:function(arm,size=0xd54) addr:0x2092458
func_ov000_0209320c kind:function(arm,size=0xdc) addr:0x20931ac
func_ov000_020932e8 kind:function(arm,size=0xd0) addr:0x2093288
func_ov000_020933b8 kind:function(arm,size=0x1c) addr:0x2093358
func_ov000_020933d4 kind:function(arm,size=0x134) addr:0x2093374
func_ov000_02093508 kind:function(arm,size=0xf4) addr:0x20934a8
func_ov000_020935fc kind:function(arm,size=0x20) addr:0x209359c
func_ov000_0209361c kind:function(arm,size=0x4) addr:0x20935bc
func_ov000_02093620 kind:function(arm,size=0x14) addr:0x20935c0
func_ov000_02093634 kind:function(arm,size=0xa4) addr:0x20935d4
func_ov000_020936d8 kind:function(arm,size=0x100) addr:0x2093678
func_ov000_020937d8 kind:function(arm,size=0x4) addr:0x2093778
func_ov000_020937dc kind:function(arm,size=0x64) addr:0x209377c
func_ov000_02093840 kind:function(arm,size=0x14) addr:0x20937e0
func_ov000_02093854 kind:function(arm,size=0xcc) addr:0x20937f4
func_ov000_02093920 kind:function(arm,size=0x14) addr:0x20938c0
func_ov000_02093934 kind:function(arm,size=0x4) addr:0x20938d4
func_ov000_02093938 kind:function(arm,size=0x14) addr:0x20938d8
func_ov000_0209394c kind:function(arm,size=0xc) addr:0x20938ec
func_ov000_02093958 kind:function(arm,size=0x10) addr:0x20938f8
func_ov000_02093968 kind:function(arm,size=0x78) addr:0x2093908
func_ov000_020939e0 kind:function(arm,size=0x3c) addr:0x2093980
func_ov000_02093a1c kind:function(arm,size=0x20) addr:0x20939bc
func_ov000_02093a3c kind:function(arm,size=0x10) addr:0x20939dc
func_ov000_02093a4c kind:function(arm,size=0x10) addr:0x20939ec
func_ov000_02093a5c kind:function(arm,size=0x94) addr:0x20939fc
func_ov000_02093af0 kind:function(arm,size=0x68) addr:0x2093a90
func_ov000_02093b58 kind:function(arm,size=0x144) addr:0x2093af8
func_ov000_02093c9c kind:function(arm,size=0x38) addr:0x2093c3c
func_ov000_02093cd4 kind:function(arm,size=0xc0) addr:0x2093c74
_ZN21TriggerAABB_Unk2_Unk1D1Ev kind:function(arm,size=0x14) addr:0x2093d34
func_ov000_02093da8 kind:function(arm,size=0x28) addr:0x2093d48
func_ov000_02093dd0 kind:function(arm,size=0x30) addr:0x2093d70
func_ov000_02093e00 kind:function(arm,size=0x2d8) addr:0x2093da0
_ZN21TriggerAABB_Unk2_Unk18vfunc_14EP4AABBiii kind:function(arm,size=0x48) addr:0x2094078
func_ov000_02094120 kind:function(arm,size=0x84) addr:0x20940c0
func_ov000_020941a4 kind:function(arm,size=0x48) addr:0x2094144
func_ov000_020941ec kind:function(arm,size=0x30) addr:0x209418c
func_ov000_0209421c kind:function(arm,size=0x5ec) addr:0x20941bc
func_ov000_02094808 kind:function(arm,size=0x8) addr:0x20947a8
_ZN24UnkStruct_ov000_020e2f04D0Ev kind:function(arm,size=0x14) addr:0x20947b0
_ZN24UnkStruct_ov000_020e2f04D2Ev kind:function(arm,size=0x4) addr:0x20947c4
_ZN24UnkStruct_ov000_020e2f048vfunc_0cEv kind:function(arm,size=0x4) addr:0x20947c8
_ZN24UnkStruct_ov000_020e2f048vfunc_10Ev kind:function(arm,size=0x4) addr:0x20947cc
_ZN24UnkStruct_ov000_020e2f048vfunc_14EP4AABBiii kind:function(arm,size=0x4) addr:0x20947d0
_ZN24UnkStruct_ov000_020e2f048vfunc_18Ev kind:function(arm,size=0x4) addr:0x20947d4
_ZN24UnkStruct_ov000_020e2f048vfunc_1cEv kind:function(arm,size=0x4) addr:0x20947d8
_ZN24UnkStruct_ov000_020e2f0414SetBoundingBoxEP4AABB kind:function(arm,size=0x4) addr:0x20947dc
_ZN24UnkStruct_ov000_020e2f048vfunc_24Ev kind:function(arm,size=0x4) addr:0x20947e0
_ZN24UnkStruct_ov000_020e2f048vfunc_28Ev kind:function(arm,size=0x4) addr:0x20947e4
_ZN24UnkStruct_ov000_020e2f0414GetBoundingBoxEP4AABB kind:function(arm,size=0x4) addr:0x20947e8
_ZN24UnkStruct_ov000_020e2f048vfunc_58Eiii kind:function(arm,size=0x38) addr:0x20947ec
func_ov000_02094884 kind:function(arm,size=0x24) addr:0x2094824
func_ov000_020948a8 kind:function(arm,size=0x10) addr:0x2094848
func_ov000_020948b8 kind:function(arm,size=0x10) addr:0x2094858
func_ov000_020948c8 kind:function(arm,size=0x10) addr:0x2094868
func_ov000_020948d8 kind:function(arm,size=0x10) addr:0x2094878
func_ov000_020948e8 kind:function(arm,size=0x10) addr:0x2094888
func_ov000_020948f8 kind:function(arm,size=0x10) addr:0x2094898
func_ov000_02094908 kind:function(arm,size=0x10) addr:0x20948a8
func_ov000_02094918 kind:function(arm,size=0x10) addr:0x20948b8
_ZN21TriggerAABB_Unk2_Unk112ContainsInXZEP5Vec3p kind:function(arm,size=0x10) addr:0x20948c8
_ZN21TriggerAABB_Unk2_Unk18ContainsEP5Vec3p kind:function(arm,size=0x10) addr:0x20948d8
_ZN21TriggerAABB_Unk2_Unk114IntersectsCubeEP4Cube kind:function(arm,size=0x10) addr:0x20948e8
_ZN21TriggerAABB_Unk2_Unk18vfunc_54EP4CubeP5Vec3pPj kind:function(arm,size=0x10) addr:0x20948f8
func_ov000_02094968 kind:function(arm,size=0x14) addr:0x2094908
func_ov000_0209497c kind:function(arm,size=0x8) addr:0x209491c
func_ov000_02094984 kind:function(arm,size=0x24) addr:0x2094924
func_ov000_020949a8 kind:function(arm,size=0x38) addr:0x2094948
func_ov000_020949e0 kind:function(arm,size=0x24) addr:0x2094980
func_ov000_02094a04 kind:function(arm,size=0x1c) addr:0x20949a4
func_ov000_02094a20 kind:function(arm,size=0x8) addr:0x20949c0
func_ov000_02094a28 kind:function(arm,size=0x8) addr:0x20949c8
func_ov000_02094a30 kind:function(arm,size=0x1c) addr:0x20949d0
func_ov000_02094a4c kind:function(arm,size=0x8) addr:0x20949ec
func_ov000_02094a54 kind:function(arm,size=0x8) addr:0x20949f4
func_ov000_02094a5c kind:function(arm,size=0x1c) addr:0x20949fc
func_ov000_02094a78 kind:function(arm,size=0x14) addr:0x2094a18
func_ov000_02094a8c kind:function(arm,size=0x8) addr:0x2094a2c
func_ov000_02094a94 kind:function(arm,size=0x2c) addr:0x2094a34
func_ov000_02094ac0 kind:function(arm,size=0x40) addr:0x2094a60
func_ov000_02094b00 kind:function(arm,size=0x2c) addr:0x2094aa0
func_ov000_02094b2c kind:function(arm,size=0x1c) addr:0x2094acc
func_ov000_02094b48 kind:function(arm,size=0x8) addr:0x2094ae8
func_ov000_02094b50 kind:function(arm,size=0x8) addr:0x2094af0
func_ov000_02094b58 kind:function(arm,size=0x1c) addr:0x2094af8
func_ov000_02094b74 kind:function(arm,size=0x8) addr:0x2094b14
func_ov000_02094b7c kind:function(arm,size=0x8) addr:0x2094b1c
func_ov000_02094b84 kind:function(arm,size=0x1c) addr:0x2094b24
_ZN21TriggerAABB_Unk2_Unk18vfunc_08Ev kind:function(arm,size=0x8) addr:0x2094b40
_ZN21TriggerAABB_Unk2_Unk114SetBoundingBoxEP4AABB kind:function(arm,size=0x34) addr:0x2094b48
_ZN21TriggerAABB_Unk2_Unk114GetBoundingBoxEP4AABB kind:function(arm,size=0x34) addr:0x2094b7c
_ZN21TriggerAABB_Unk2_Unk111SetPositionEP5Vec3p kind:function(arm,size=0x54) addr:0x2094bb0
_ZN21TriggerAABB_Unk2_Unk18vfunc_34Ev kind:function(arm,size=0x8) addr:0x2094c04
_ZN21TriggerAABB_Unk2_Unk18vfunc_38Ev kind:function(arm,size=0x8) addr:0x2094c0c
_ZN21TriggerAABB_Unk2_Unk111GetPositionEP5Vec3p kind:function(arm,size=0x10) addr:0x2094c14
_ZN21TriggerAABB_Unk2_Unk19GetSizeXZEv kind:function(arm,size=0x2c) addr:0x2094c24
_ZN21TriggerAABB_Unk2_Unk19GetHeightEv kind:function(arm,size=0x10) addr:0x2094c50
_ZN21TriggerAABB_Unk2_Unk1D0Ev kind:function(arm,size=0x1c) addr:0x2094c60
func_ov000_02094cdc kind:function(arm,size=0x8) addr:0x2094c7c
func_ov000_02094ce4 kind:function(arm,size=0x8) addr:0x2094c84
func_ov000_02094cec kind:function(arm,size=0x8) addr:0x2094c8c
func_ov000_02094cf4 kind:function(arm,size=0x8) addr:0x2094c94
func_ov000_02094cfc kind:function(arm,size=0x4c) addr:0x2094c9c
func_ov000_02094d48 kind:function(arm,size=0x4c) addr:0x2094ce8
func_ov000_02094d94 kind:function(arm,size=0x14) addr:0x2094d34
func_ov000_02094da8 kind:function(arm,size=0x1c) addr:0x2094d48
func_ov000_02094dc4 kind:function(arm,size=0x14) addr:0x2094d64
func_ov000_02094dd8 kind:function(arm,size=0x1c) addr:0x2094d78
func_ov000_02094df4 kind:function(arm,size=0x1c) addr:0x2094d94
func_ov000_02094e10 kind:function(arm,size=0x24) addr:0x2094db0
func_ov000_02094e34 kind:function(arm,size=0x24) addr:0x2094dd4
func_ov000_02094e58 kind:function(arm,size=0x14) addr:0x2094df8
func_ov000_02094e6c kind:function(arm,size=0x128) addr:0x2094e0c
func_ov000_02094f94 kind:function(arm,size=0x14) addr:0x2094f34
func_ov000_02094fa8 kind:function(arm,size=0x14) addr:0x2094f48
func_ov000_02094fbc kind:function(arm,size=0x178) addr:0x2094f5c
func_ov000_02095134 kind:function(arm,size=0xa0) addr:0x20950d4
func_ov000_020951d4 kind:function(arm,size=0x50) addr:0x2095174
func_ov000_02095224 kind:function(arm,size=0x34) addr:0x20951c4
func_ov000_02095258 kind:function(arm,size=0x20) addr:0x20951f8
func_ov000_02095278 kind:function(arm,size=0x98) addr:0x2095218
func_ov000_02095310 kind:function(arm,size=0x14) addr:0x20952b0
func_ov000_02095324 kind:function(arm,size=0x34) addr:0x20952c4
func_ov000_02095358 kind:function(arm,size=0x38) addr:0x20952f8
func_ov000_02095390 kind:function(arm,size=0x8) addr:0x2095330
func_ov000_02095398 kind:function(arm,size=0x8) addr:0x2095338
func_ov000_020953a0 kind:function(arm,size=0x40) addr:0x2095340
func_ov000_020953e0 kind:function(arm,size=0x1c) addr:0x2095380
_ZN11TriggerBaseC2EP13TriggerParams kind:function(arm,size=0x48) addr:0x209539c
_ZN11TriggerBaseC2Ehjjj kind:function(arm,size=0x40) addr:0x20953e4
_ZN11TriggerBaseD1Ev kind:function(arm,size=0x4) addr:0x2095424
_ZN11TriggerBaseD0Ev kind:function(arm,size=0x14) addr:0x2095428
_ZN11TriggerBaseD2Ev kind:function(arm,size=0x4) addr:0x209543c
_ZN11TriggerAABBC2EP13TriggerParams kind:function(arm,size=0xb4) addr:0x2095440
_ZN11TriggerAABBC2Ehjjj kind:function(arm,size=0xb4) addr:0x20954f4
_ZN11TriggerAABBD1Ev kind:function(arm,size=0x14) addr:0x20955a8
_ZN11TriggerAABBD0Ev kind:function(arm,size=0x1c) addr:0x20955bc
_ZN11TriggerAABBD2Ev kind:function(arm,size=0x14) addr:0x20955d8
_ZN13TriggerSphereC2EP13TriggerParams kind:function(arm,size=0xd4) addr:0x20955ec
_ZN13TriggerSphereC2Ehjjj kind:function(arm,size=0x44) addr:0x20956c0
_ZN13TriggerSphereD1Ev kind:function(arm,size=0x14) addr:0x2095704
_ZN13TriggerSphereD0Ev kind:function(arm,size=0x1c) addr:0x2095718
_ZN13TriggerSphere14GetBoundingBoxEP4AABB kind:function(arm,size=0x88) addr:0x2095734
_ZN16TriggerAABB_Unk2C2EP13TriggerParams kind:function(arm,size=0x54) addr:0x20957bc
_ZN21TriggerAABB_Unk2_Unk1C2Ev kind:function(arm,size=0x38) addr:0x2095810
_ZN16TriggerAABB_Unk2D1Ev kind:function(arm,size=0x68) addr:0x2095848
_ZN16TriggerAABB_Unk2D0Ev kind:function(arm,size=0x70) addr:0x20958b0
_ZN16TriggerAABB_Unk28vfunc_08Ev kind:function(arm,size=0x18) addr:0x2095920
_ZN16TriggerAABB_Unk28vfunc_0cEv kind:function(arm,size=0x370) addr:0x2095938
_ZN16TriggerAABB_Unk28vfunc_10Ev kind:function(arm,size=0x50) addr:0x2095ca8
_ZN16TriggerAABB_Unk1C2EP13TriggerParams kind:function(arm,size=0x60) addr:0x2095cf8
_ZN16TriggerAABB_Unk1D1Ev kind:function(arm,size=0x40) addr:0x2095d58
_ZN16TriggerAABB_Unk1D0Ev kind:function(arm,size=0x48) addr:0x2095d98
_ZN16TriggerAABB_Unk18vfunc_08Ev kind:function(arm,size=0x74) addr:0x2095de0
_ZN13TriggerSphere8OverlapsEP5Vec3p kind:function(arm,size=0x10) addr:0x2095e54
_ZN11TriggerAABB8OverlapsEP5Vec3p kind:function(arm,size=0x10) addr:0x2095e64
_ZN11TriggerAABB14GetBoundingBoxEP4AABB kind:function(arm,size=0x38) addr:0x2095e74
func_ov000_02095f0c kind:function(arm,size=0x34) addr:0x2095eac
func_ov000_02095f40 kind:function(arm,size=0x1c) addr:0x2095ee0
func_ov000_02095f5c kind:function(arm,size=0x48) addr:0x2095efc
func_ov000_02095fa4 kind:function(arm,size=0x3c) addr:0x2095f44
func_ov000_02095fe0 kind:function(arm,size=0x180) addr:0x2095f80
func_ov000_02096160 kind:function(arm,size=0x98) addr:0x2096100
func_ov000_020961f8 kind:function(arm,size=0x24) addr:0x2096198
func_ov000_0209621c kind:function(arm,size=0x108) addr:0x20961bc
func_ov000_02096324 kind:function(arm,size=0xf4) addr:0x20962c4
func_ov000_02096418 kind:function(arm,size=0xb4) addr:0x20963b8
func_ov000_020964cc kind:function(arm,size=0xf4) addr:0x209646c
func_ov000_020965c0 kind:function(arm,size=0x1ec) addr:0x2096560
func_ov000_020967ac kind:function(arm,size=0x250) addr:0x209674c
func_ov000_020969fc kind:function(arm,size=0x14) addr:0x209699c
func_ov000_02096a10 kind:function(arm,size=0x48) addr:0x20969b0
func_ov000_02096a58 kind:function(arm,size=0x30) addr:0x20969f8
func_ov000_02096a88 kind:function(arm,size=0x10) addr:0x2096a28
func_ov000_02096a98 kind:function(arm,size=0x1a4) addr:0x2096a38
func_ov000_02096c3c kind:function(arm,size=0xfc) addr:0x2096bdc
func_ov000_02096d38 kind:function(arm,size=0x24) addr:0x2096cd8
func_ov000_02096d5c kind:function(arm,size=0x2c) addr:0x2096cfc
func_ov000_02096d88 kind:function(arm,size=0x48) addr:0x2096d28
func_ov000_02096dd0 kind:function(arm,size=0x8) addr:0x2096d70
func_ov000_02096dd8 kind:function(arm,size=0x8) addr:0x2096d78
func_ov000_02096de0 kind:function(arm,size=0x25c) addr:0x2096d80
func_ov000_0209703c kind:function(arm,size=0xd0) addr:0x2096fdc
func_ov000_0209710c kind:function(arm,size=0x48) addr:0x20970ac
func_ov000_02097154 kind:function(arm,size=0x1c) addr:0x20970f4
func_ov000_02097170 kind:function(arm,size=0x48) addr:0x2097110
func_ov000_020971b8 kind:function(arm,size=0x48) addr:0x2097158
func_ov000_02097200 kind:function(arm,size=0x28) addr:0x20971a0
func_ov000_02097228 kind:function(arm,size=0x8) addr:0x20971c8
func_ov000_02097230 kind:function(arm,size=0x10) addr:0x20971d0
_ZN7MapDataC1EPhccii kind:function(arm,size=0xa0) addr:0x20971e0
_ZN7MapDataD1Ev kind:function(arm,size=0x4) addr:0x2097280
_ZN7MapData19func_ov000_020972e4EPtPib kind:function(arm,size=0x70) addr:0x2097284
_ZN7MapData19func_ov000_02097354Ev kind:function(arm,size=0xb8) addr:0x20972f4
_ZN7MapData8SetFlag0Ejb kind:function(arm,size=0x4c) addr:0x20973ac
_ZN7MapData8GetFlag0Ej kind:function(arm,size=0x20) addr:0x20973f8
_ZN7MapData8SetFlag1Ejb kind:function(arm,size=0x4c) addr:0x2097418
_ZN7MapData8GetFlag1Ej kind:function(arm,size=0x20) addr:0x2097464
_ZN7MapData8SetFlag2Ejb kind:function(arm,size=0x4c) addr:0x2097484
_ZN7MapData8GetFlag2Ej kind:function(arm,size=0x20) addr:0x20974d0
_ZN7MapData8SetFlag3Ejb kind:function(arm,size=0x4c) addr:0x20974f0
_ZN7MapData8GetFlag3Ej kind:function(arm,size=0x20) addr:0x209753c
_ZN7MapData8SetFlag4Ejb kind:function(arm,size=0x4c) addr:0x209755c
_ZN7MapData8GetFlag4Ej kind:function(arm,size=0x20) addr:0x20975a8
_ZN14AdventureFlags6ExistsEv kind:function(arm,size=0x1c) addr:0x20975c8
_ZN14AdventureFlags6CopyToEPi kind:function(arm,size=0x30) addr:0x20975e4
_ZN14AdventureFlags18func_ov00_02097674Ev kind:function(arm,size=0x10) addr:0x2097614
_ZN14AdventureFlags18func_ov00_02097684Ev kind:function(arm,size=0x10) addr:0x2097624
_ZN14AdventureFlags4LoadEv kind:function(arm,size=0x34) addr:0x2097634
_ZN14AdventureFlags18func_ov00_020976c8Ev kind:function(arm,size=0x38) addr:0x2097668
_ZN14AdventureFlags18func_ov00_02097700Ev kind:function(arm,size=0x38) addr:0x20976a0
_ZN14AdventureFlags18func_ov00_02097738Ev kind:function(arm,size=0x18) addr:0x20976d8
_ZN14AdventureFlags18func_ov00_02097750Ev kind:function(arm,size=0x10) addr:0x20976f0
_ZN14AdventureFlags3GetEj kind:function(arm,size=0x3c) addr:0x2097700
_ZN14AdventureFlags3SetEjb kind:function(arm,size=0x74) addr:0x209773c
_ZN14AdventureFlags18func_Ov00_02097810Ei kind:function(arm,size=0x158) addr:0x20977b0
_ZN14AdventureFlags18func_ov00_02097968Ei kind:function(arm,size=0xdc) addr:0x2097908
_ZN14AdventureFlags18func_ov00_02097a44Eii kind:function(arm,size=0x158) addr:0x20979e4
_ZN14AdventureFlags18func_ov00_02097b9cEi kind:function(arm,size=0x10) addr:0x2097b3c
_ZN14AdventureFlags18func_ov00_02097bacEv kind:function(arm,size=0x10) addr:0x2097b4c
_ZN14AdventureFlags18func_ov00_02097bbcEv kind:function(arm,size=0x10) addr:0x2097b5c
_ZN14AdventureFlags18func_ov00_02097bccEv kind:function(arm,size=0x10) addr:0x2097b6c
_ZN14AdventureFlags18func_ov00_02097bccEi kind:function(arm,size=0x2c) addr:0x2097b7c
_ZN14AdventureFlags18func_ov00_02097c08Ev kind:function(arm,size=0x10) addr:0x2097ba8
_ZN14AdventureFlags20Get_FlagsUnk_30_FlagEi kind:function(arm,size=0x20) addr:0x2097bb8
_ZN14AdventureFlags15Get_FlagsUnk_49Ei kind:function(arm,size=0x18) addr:0x2097bd8
_ZN14AdventureFlags15Get_FlagsUnk_48Ei kind:function(arm,size=0x18) addr:0x2097bf0
_ZN14AdventureFlags15Get_FlagsUnk_4aEi kind:function(arm,size=0x18) addr:0x2097c08
_ZN14AdventureFlags15Get_FlagsUnk_42Ei kind:function(arm,size=0x18) addr:0x2097c20
_ZN14AdventureFlags15Get_FlagsUnk_40Ei kind:function(arm,size=0x18) addr:0x2097c38
_ZN14AdventureFlags15Get_FlagsUnk_38Ei kind:function(arm,size=0x18) addr:0x2097c50
_ZN14AdventureFlags15Get_FlagsUnk_34Ei kind:function(arm,size=0x18) addr:0x2097c68
_ZN14AdventureFlags15Get_FlagsUnk_44Ei kind:function(arm,size=0x18) addr:0x2097c80
_ZN14AdventureFlags15Get_FlagsUnk_30Ei kind:function(arm,size=0x18) addr:0x2097c98
_ZN14AdventureFlags15Get_FlagsUnk_00EiP9FlagsUnk2 kind:function(arm,size=0xa4) addr:0x2097cb0
_ZN14AdventureFlags15Get_FlagsUnk_18EiP9FlagsUnk2 kind:function(arm,size=0xa4) addr:0x2097d54
_ZN14AdventureFlags12Get_FlagsUnkEi kind:function(arm,size=0x14) addr:0x2097df8
_ZN14AdventureFlags18func_ov00_02097e6cEv kind:function(arm,size=0x10) addr:0x2097e0c
_ZN14AdventureFlags18func_ov00_02097e7cEv kind:function(arm,size=0x28) addr:0x2097e1c
_ZN14AdventureFlags18func_ov00_02097ea4Ev kind:function(arm,size=0x28) addr:0x2097e44
_ZN14AdventureFlags18func_ov00_02097eccEv kind:function(arm,size=0xc0) addr:0x2097e6c
_ZN14AdventureFlags18func_ov00_02097f8cEv kind:function(arm,size=0x20) addr:0x2097f2c
_ZN14AdventureFlags18func_ov00_02097facEv kind:function(arm,size=0x24) addr:0x2097f4c
_ZN14AdventureFlags18func_ov00_02097fd0Ev kind:function(arm,size=0x24) addr:0x2097f70
_ZN14AdventureFlags18func_ov00_02097ff4Ebb kind:function(arm,size=0x64) addr:0x2097f94
_ZN14AdventureFlags18func_ov00_02098058Ev kind:function(arm,size=0xc) addr:0x2097ff8
_ZN14AdventureFlags18func_ov00_02098064Ei kind:function(arm,size=0x10) addr:0x2098004
_ZN14AdventureFlags18func_ov00_02098074Eisiib kind:function(arm,size=0x28) addr:0x2098014
_ZN14AdventureFlags18func_ov00_0209809cEv kind:function(arm,size=0x10) addr:0x209803c
_ZN14AdventureFlags18func_ov00_020980acEv kind:function(arm,size=0x10) addr:0x209804c
_ZN14AdventureFlags18func_ov00_020980bcEi kind:function(arm,size=0x14) addr:0x209805c
_ZN8FlagsUnkD1Ev kind:function(arm,size=0x24) addr:0x2098070
_ZN9FlagsUnk2D1Ev kind:function(arm,size=0x4) addr:0x2098094
_ZN8FlagsUnk19func_ov000_020980f8Ev kind:function(arm,size=0x4) addr:0x2098098
_ZN15CutsceneHandler19func_ov000_020980fcEiiPPv kind:function(arm,size=0x18) addr:0x209809c
_ZN15CutsceneHandler19func_ov000_02098114Ev kind:function(arm,size=0x3c) addr:0x20980b4
_ZN15CutsceneHandler12SkipCutsceneEi kind:function(arm,size=0x68) addr:0x20980f0
_ZN15CutsceneHandler19func_ov000_020981b8EPi kind:function(arm,size=0x408) addr:0x2098158
_ZN15CutsceneHandler19func_ov000_020985c0Ev kind:function(arm,size=0x4) addr:0x2098560
_ZN15CutsceneHandler19func_ov000_020985c4Ev kind:function(arm,size=0x54) addr:0x2098564
_ZN15CutsceneHandler19func_ov000_02098618EiiPPv kind:function(arm,size=0x40) addr:0x20985b8
_ZN15CutsceneHandler19func_ov000_02098658Ev kind:function(arm,size=0x3c) addr:0x20985f8
_ZN15CutsceneHandler19func_ov000_02098694Ei kind:function(arm,size=0x130) addr:0x2098634
_ZN15CutsceneHandler19func_ov000_020987c4Eisiib kind:function(arm,size=0x70) addr:0x2098764
_ZN15CutsceneHandler19func_ov000_02098834Ev kind:function(arm,size=0x2c) addr:0x20987d4
_ZN15CutsceneHandler19func_ov000_02098860Ev kind:function(arm,size=0x30) addr:0x2098800
_ZN15CutsceneHandler19func_ov000_02098890Eii kind:function(arm,size=0x90) addr:0x2098830
_ZN15CutsceneHandler19func_ov000_02098920Ei kind:function(arm,size=0x88) addr:0x20988c0
func_ov000_020989a8 kind:function(arm,size=0x18c) addr:0x2098948
func_ov000_02098b34 kind:function(arm,size=0xc) addr:0x2098ad4
func_ov000_02098b40 kind:function(arm,size=0xc) addr:0x2098ae0
func_ov000_02098b4c kind:function(arm,size=0x14) addr:0x2098aec
func_ov000_02098b60 kind:function(arm,size=0x18) addr:0x2098b00
func_ov000_02098b78 kind:function(arm,size=0x18) addr:0x2098b18
func_ov000_02098b90 kind:function(arm,size=0x70) addr:0x2098b30
func_ov000_02098c00 kind:function(arm,size=0x48) addr:0x2098ba0
func_ov000_02098c48 kind:function(arm,size=0x20) addr:0x2098be8
func_ov000_02098c68 kind:function(arm,size=0xb8) addr:0x2098c08
func_ov000_02098d20 kind:function(arm,size=0x14) addr:0x2098cc0
func_ov000_02098d34 kind:function(arm,size=0x1d0) addr:0x2098cd4
func_ov000_02098f04 kind:function(arm,size=0xa0) addr:0x2098ea4
func_ov000_02098fa4 kind:function(arm,size=0x80) addr:0x2098f44
func_ov000_02099024 kind:function(arm,size=0x48) addr:0x2098fc4
func_ov000_0209906c kind:function(arm,size=0x4) addr:0x209900c
func_ov000_02099070 kind:function(arm,size=0xc) addr:0x2099010
func_ov000_0209907c kind:function(arm,size=0x28) addr:0x209901c
func_ov000_020990a4 kind:function(arm,size=0x148) addr:0x2099044
func_ov000_020991ec kind:function(arm,size=0x2ec) addr:0x209918c
func_ov000_020994d8 kind:function(arm,size=0x14) addr:0x2099478
func_ov000_020994ec kind:function(arm,size=0x48) addr:0x209948c
func_ov000_02099534 kind:function(arm,size=0x3c) addr:0x20994d4
func_ov000_02099570 kind:function(arm,size=0x210) addr:0x2099510
func_ov000_02099780 kind:function(arm,size=0x6c4) addr:0x2099720
func_ov000_02099e44 kind:function(arm,size=0x24) addr:0x2099de4
func_ov000_02099e68 kind:function(arm,size=0x8) addr:0x2099e08
func_ov000_02099e70 kind:function(arm,size=0x8) addr:0x2099e10
func_ov000_02099e78 kind:function(arm,size=0x54) addr:0x2099e18
func_ov000_02099ecc kind:function(arm,size=0x358) addr:0x2099e6c
func_ov000_0209a224 kind:function(arm,size=0x74) addr:0x209a1c4
func_ov000_0209a298 kind:function(arm,size=0xd0) addr:0x209a238
func_ov000_0209a368 kind:function(arm,size=0x48) addr:0x209a308
func_ov000_0209a3b0 kind:function(arm,size=0x48) addr:0x209a350
func_ov000_0209a3f8 kind:function(arm,size=0x48) addr:0x209a398
func_ov000_0209a440 kind:function(arm,size=0x28) addr:0x209a3e0
func_ov000_0209a468 kind:function(arm,size=0x8) addr:0x209a408
func_ov000_0209a470 kind:function(arm,size=0x3c) addr:0x209a410
func_ov000_0209a4ac kind:function(arm,size=0x48) addr:0x209a44c
func_ov000_0209a4f4 kind:function(arm,size=0x14) addr:0x209a494
func_ov000_0209a508 kind:function(arm,size=0x4) addr:0x209a4a8
func_ov000_0209a50c kind:function(arm,size=0xa8) addr:0x209a4ac
func_ov000_0209a5b4 kind:function(arm,size=0x924) addr:0x209a554
func_ov000_0209aed8 kind:function(arm,size=0x2c) addr:0x209ae78
